Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (13657237),Anthony Davis,13657237,PF/C/F/UTIL,10300,MEM@LAL 10/29/2019 10:30PM ET,LAL,51
C,Nikola Jokic (13657241),Nikola Jokic,13657241,C/UTIL,10000,DAL@DEN 10/29/2019 09:00PM ET,DEN,46.67
PG/SF,LeBron James (13657243),LeBron James,13657243,PG/SF/F/G/UTIL,9700,MEM@LAL 10/29/2019 10:30PM ET,LAL,50.92
PG/SG,Luka Doncic (13657248),Luka Doncic,13657248,PG/SG/G/UTIL,9500,DAL@DEN 10/29/2019 09:00PM ET,DAL,59.25
PG,Trae Young (13657252),Trae Young,13657252,PG/G/UTIL,9000,ATL@MIA 10/29/2019 07:30PM ET,ATL,56.17
PF/C,Kristaps Porzingis (13657255),Kristaps Porzingis,13657255,PF/C/F/UTIL,8200,DAL@DEN 10/29/2019 09:00PM ET,DAL,44.75
SG/SF,Jimmy Butler (13657259),Jimmy Butler,13657259,SG/SF/F/G/UTIL,7700,ATL@MIA 10/29/2019 07:30PM ET,MIA,0
PF/C,John Collins (13657264),John Collins,13657264,PF/C/F/UTIL,7300,ATL@MIA 10/29/2019 07:30PM ET,ATL,34.5
PG,Ja Morant (13657268),Ja Morant,13657268,PG/G/UTIL,7100,MEM@LAL 10/29/2019 10:30PM ET,MEM,33.92
PF/C,Bam Adebayo (13657271),Bam Adebayo,13657271,PF/C/F/UTIL,7000,ATL@MIA 10/29/2019 07:30PM ET,MIA,40.92
PG/SF,Justise Winslow (13657275),Justise Winslow,13657275,PG/SF/F/G/UTIL,6900,ATL@MIA 10/29/2019 07:30PM ET,MIA,44
PG/SG,Jamal Murray (13657280),Jamal Murray,13657280,PG/SG/G/UTIL,6600,DAL@DEN 10/29/2019 09:00PM ET,DEN,35
PF/C,Jaren Jackson Jr. (13657284),Jaren Jackson Jr.,13657284,PF/C/F/UTIL,6400,MEM@LAL 10/29/2019 10:30PM ET,MEM,31.67
C,Jonas Valanciunas (13657288),Jonas Valanciunas,13657288,C/UTIL,6300,MEM@LAL 10/29/2019 10:30PM ET,MEM,27.92
SF/PF,Kyle Kuzma (13657290),Kyle Kuzma,13657290,SF/PF/F/UTIL,6200,MEM@LAL 10/29/2019 10:30PM ET,LAL,0
PG/SG,Kendrick Nunn (13657294),Kendrick Nunn,13657294,PG/SG/G/UTIL,6000,ATL@MIA 10/29/2019 07:30PM ET,MIA,36.5
PG,Goran Dragic (13657298),Goran Dragic,13657298,PG/G/UTIL,5700,ATL@MIA 10/29/2019 07:30PM ET,MIA,34.67
C,Dwight Powell (13657301),Dwight Powell,13657301,C/UTIL,5500,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
PF/C,Paul Millsap (13657303),Paul Millsap,13657303,PF/C/F/UTIL,5400,DAL@DEN 10/29/2019 09:00PM ET,DEN,20.33
SG/SF,Dion Waiters (13657307),Dion Waiters,13657307,SG/SF/F/G/UTIL,5300,ATL@MIA 10/29/2019 07:30PM ET,MIA,0
SF/PF,Jae Crowder (13657312),Jae Crowder,13657312,SF/PF/F/UTIL,5200,MEM@LAL 10/29/2019 10:30PM ET,MEM,27.75
PF/C,Brandon Clarke (13657316),Brandon Clarke,13657316,PF/C/F/UTIL,5100,MEM@LAL 10/29/2019 10:30PM ET,MEM,25.25
PG/SG,Delon Wright (13657320),Delon Wright,13657320,PG/SG/G/UTIL,5000,DAL@DEN 10/29/2019 09:00PM ET,DAL,26.08
C,Dwight Howard (13657324),Dwight Howard,13657324,C/UTIL,5000,MEM@LAL 10/29/2019 10:30PM ET,LAL,24.58
SG,Tyler Herro (13657326),Tyler Herro,13657326,SG/G/UTIL,4900,ATL@MIA 10/29/2019 07:30PM ET,MIA,23.17
SG,Gary Harris (13657329),Gary Harris,13657329,SG/G/UTIL,4800,DAL@DEN 10/29/2019 09:00PM ET,DEN,20.42
SF/PF,De'Andre Hunter (13657332),De'Andre Hunter,13657332,SF/PF/F/UTIL,4700,ATL@MIA 10/29/2019 07:30PM ET,ATL,19.17
SG/SF,Will Barton (13657336),Will Barton,13657336,SG/SF/F/G/UTIL,4600,DAL@DEN 10/29/2019 09:00PM ET,DEN,26.58
PG/SG,Jalen Brunson (13657341),Jalen Brunson,13657341,PG/SG/G/UTIL,4500,DAL@DEN 10/29/2019 09:00PM ET,DAL,19.67
SG/SF,Danny Green (13657345),Danny Green,13657345,SG/SF/F/G/UTIL,4400,MEM@LAL 10/29/2019 10:30PM ET,LAL,27.92
